,bin_median,true_positive,false_positive,true_negative,false_negative,filter_stanford,filter_operator,missing_data,zero_filter_su,zero_filter_op,zero_missing,total_releases,total_reported,bin_height
0,2.5,0,1,0,0,0,0,0,1,0,1,26.0,24.0,1
1,7.5,0,0,0,0,0,0,0,0,0,0,26.0,24.0,0
2,12.5,0,0,0,0,0,0,0,0,0,0,26.0,24.0,0
3,17.5,0,0,0,0,0,0,0,0,0,0,26.0,24.0,0
4,22.5,0,0,0,1,0,0,0,0,0,0,26.0,24.0,1
5,27.5,0,0,0,0,0,0,0,0,0,0,26.0,24.0,0
6,32.5,0,0,0,1,0,0,0,0,0,0,26.0,24.0,1
7,37.5,0,0,0,0,0,0,0,0,0,0,26.0,24.0,0
8,42.5,0,0,0,0,0,0,0,0,0,0,26.0,24.0,0
9,47.5,0,0,0,0,0,0,0,0,0,0,26.0,24.0,0
