,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,operator_detected,release_rate_kgh,release_kgh_stdev,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-10 17:00:39,False,True,True,True,1,True,10351.26648,False,True,10.942664277348,0.05806356193911,87.19376164,42.486457390000005,131.90106589,pass_all
1,2.0,2022-10-10 17:14:15,False,True,True,True,1,True,10398.14464,False,False,6.625377696852,0.064699320451543,,,,pass_all
3,4.0,2022-10-10 17:43:05,False,True,True,True,1,True,10416.32015,False,False,4.453535086344,0.0628908418746801,,,,pass_all
18,19.0,2022-10-10 20:43:12,False,True,True,True,0,True,10339.63502,False,True,22.9668172524,2.251309355984404,34.46484832,11.661134970000004,57.26856167,pass_all
33,34.0,2022-10-11 19:17:52,False,True,True,True,0,True,10346.44821,False,False,6.613298489484001,0.0754817951154476,,,,pass_all
34,35.0,2022-10-11 19:30:41,False,True,True,True,0,True,10361.07733,False,True,21.010480985088,0.0634184015081135,13.7314693,4.864804472000001,22.598134128,pass_all
37,38.0,2022-10-11 20:05:50,False,True,True,True,1,True,10314.40411,False,True,16.530569773055998,0.0624773066578032,42.44641036,12.797796400000005,72.09502432,pass_all
54,55.0,2022-10-12 19:18:47,False,True,True,True,1,True,10177.31131,False,True,11.500741805952,0.0637688058477629,4.90088507,2.2528892000000003,7.54888094,pass_all
56,57.0,2022-10-12 19:41:45,False,True,True,True,1,True,10187.62381,False,True,22.368764339712,3.407219513357464,22.09402808,9.33975696,34.8482992,pass_all
57,58.0,2022-10-12 19:53:45,False,True,True,True,1,True,10248.45714,False,True,23.322131781312,0.0614335499548073,35.91431737,13.809277509999998,58.01935723,pass_all
